epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.31,1.31854,1.01212,1.23645,0.94765,0.59018,0.631,0.39754,1.32236,0.69873,1.29104,0.000475365,0.000475365,0.000475365
2,343.48,1.31431,0.82861,1.24327,0.93771,0.59024,0.62799,0.40468,1.27166,0.73463,1.26643,0.000932855,0.000932855,0.000932855
3,516.146,1.29753,0.79185,1.24288,0.94253,0.58799,0.62847,0.40309,1.24152,0.68412,1.24575,0.00137148,0.00137148,0.00137148
4,680.091,1.2852,0.76578,1.22571,0.94493,0.5948,0.63189,0.41297,1.23004,0.65307,1.24001,0.00134412,0.00134412,0.00134412
5,845.069,1.25808,0.73748,1.20416,0.93278,0.60077,0.63462,0.41159,1.22692,0.63408,1.22915,0.00131582,0.00131582,0.00131582
6,1009.99,1.23609,0.70567,1.20234,0.95625,0.59847,0.6408,0.42119,1.22789,0.60864,1.24433,0.00128753,0.00128753,0.00128753
7,1177.58,1.23457,0.70453,1.19429,0.95912,0.6066,0.64794,0.43926,1.17947,0.57554,1.20634,0.00125923,0.00125923,0.00125923
8,1349.75,1.21834,0.67289,1.179,0.95656,0.61135,0.64876,0.43015,1.18358,0.56683,1.19815,0.00123094,0.00123094,0.00123094
9,1521.75,1.19689,0.64994,1.17526,0.95404,0.61698,0.64796,0.44026,1.17089,0.55462,1.19911,0.00120265,0.00120265,0.00120265
10,1696.29,1.18887,0.63463,1.16418,0.95688,0.61309,0.65175,0.44381,1.16438,0.55081,1.18799,0.00117435,0.00117435,0.00117435
11,1863.84,1.18923,0.6417,1.16799,0.96263,0.61211,0.65158,0.44179,1.16778,0.53889,1.19991,0.00114606,0.00114606,0.00114606
12,2035.78,1.1708,0.62304,1.16473,0.95919,0.61543,0.65159,0.44665,1.16844,0.54002,1.20632,0.00111776,0.00111776,0.00111776
13,2206.93,1.16602,0.61363,1.1595,0.95524,0.62089,0.64712,0.44445,1.16114,0.53032,1.1902,0.00108947,0.00108947,0.00108947
14,2373.11,1.15653,0.61042,1.14797,0.95194,0.62418,0.65452,0.44602,1.15896,0.52784,1.17821,0.00106118,0.00106118,0.00106118
15,2546.43,1.14572,0.59582,1.14421,0.96436,0.62207,0.65412,0.44825,1.15634,0.51759,1.19356,0.00103288,0.00103288,0.00103288
16,2713.59,1.14608,0.59347,1.14722,0.96019,0.61987,0.65332,0.45268,1.14958,0.51371,1.18522,0.00100459,0.00100459,0.00100459
