Timestamp,Model,Corruption,Severity,mAP@50,mAP@50-95,Person_AP,Head_AP,Helmet_AP,Macro_AP,FPS
2026-01-05 09:16:31,YOLOv8,darkness,1,0.6537,0.4575,0.0098,0.6772,0.6855,0.4575,0.00
2026-01-05 09:17:18,Faster R-CNN,darkness,1,0.6547,0.4391,0.0288,0.6386,0.6499,0.4391,0.00
2026-01-05 09:17:30,YOLOv8,darkness,3,0.6480,0.4440,0.0097,0.6622,0.6602,0.4440,0.00
2026-01-05 09:18:03,Faster R-CNN,darkness,3,0.6390,0.4148,0.0319,0.5988,0.6137,0.4148,0.00
2026-01-05 09:18:16,YOLOv8,darkness,5,0.6001,0.4063,0.0080,0.5867,0.6242,0.4063,0.00
2026-01-05 09:18:48,Faster R-CNN,darkness,5,0.5767,0.3713,0.0221,0.5257,0.5661,0.3713,0.00
2026-01-05 09:19:00,YOLOv8,motion_blur,1,0.6536,0.4460,0.0092,0.6555,0.6734,0.4460,0.00
2026-01-05 09:19:31,Faster R-CNN,motion_blur,1,0.6541,0.4266,0.0285,0.6190,0.6322,0.4266,0.00
2026-01-05 09:19:43,YOLOv8,motion_blur,3,0.6376,0.3698,0.0082,0.5212,0.5801,0.3698,0.00
2026-01-05 09:20:15,Faster R-CNN,motion_blur,3,0.6145,0.3433,0.0197,0.4831,0.5270,0.3433,0.00
2026-01-05 09:20:27,YOLOv8,motion_blur,5,0.5273,0.2338,0.0063,0.3034,0.3918,0.2338,0.00
2026-01-05 09:20:59,Faster R-CNN,motion_blur,5,0.4939,0.2128,0.0115,0.2830,0.3439,0.2128,0.00
2026-01-05 09:21:10,YOLOv8,noise,1,0.4021,0.2226,0.0069,0.3412,0.3197,0.2226,0.00
2026-01-05 09:21:41,Faster R-CNN,noise,1,0.4461,0.2442,0.0239,0.3468,0.3619,0.2442,0.00
2026-01-05 09:21:53,YOLOv8,noise,3,0.3858,0.2101,0.0068,0.3048,0.3186,0.2101,0.00
2026-01-05 09:22:26,Faster R-CNN,noise,3,0.4350,0.2348,0.0299,0.3112,0.3632,0.2348,0.00
2026-01-05 09:22:38,YOLOv8,noise,5,0.3986,0.2145,0.0101,0.3100,0.3234,0.2145,0.00
2026-01-05 09:23:10,Faster R-CNN,noise,5,0.4442,0.2368,0.0113,0.3328,0.3663,0.2368,0.00
2026-01-05 09:23:23,YOLOv8,defocus_blur,1,0.6276,0.3999,0.0097,0.5606,0.6293,0.3999,0.00
2026-01-05 09:23:53,Faster R-CNN,defocus_blur,1,0.5778,0.3592,0.0185,0.5064,0.5527,0.3592,0.00
2026-01-05 09:24:05,YOLOv8,defocus_blur,3,0.4330,0.2132,0.0055,0.2433,0.3909,0.2132,0.00
2026-01-05 09:24:36,Faster R-CNN,defocus_blur,3,0.3706,0.1827,0.0102,0.2223,0.3156,0.1827,0.00
2026-01-05 09:24:48,YOLOv8,defocus_blur,5,0.1348,0.0513,0.0040,0.0224,0.1276,0.0513,0.00
2026-01-05 09:25:19,Faster R-CNN,defocus_blur,5,0.0886,0.0381,0.0046,0.0178,0.0918,0.0381,0.00
