Timestamp,Model,Corruption,Severity,mAP@50,mAP@50-95,Person_AP,Head_AP,Helmet_AP,Macro_AP,FPS
2026-01-07 13:48:04,YOLOv8,darkness,3,0.6483,0.4458,0.0104,0.6643,0.6626,0.4458,0.00
2026-01-07 13:48:49,Faster R-CNN,darkness,3,0.6349,0.4116,0.0287,0.6006,0.6054,0.4116,0.00
2026-01-07 13:49:01,YOLOv8,darkness,5,0.6069,0.4103,0.0091,0.5945,0.6275,0.4103,0.00
2026-01-07 13:49:31,Faster R-CNN,darkness,5,0.5823,0.3716,0.0207,0.5308,0.5634,0.3716,0.00
2026-01-07 13:49:42,YOLOv8,motion_blur,3,0.6370,0.3674,0.0084,0.5183,0.5755,0.3674,0.00
2026-01-07 13:50:13,Faster R-CNN,motion_blur,3,0.6179,0.3432,0.0214,0.4831,0.5252,0.3432,0.00
2026-01-07 13:50:24,YOLOv8,motion_blur,5,0.5233,0.2299,0.0063,0.2992,0.3842,0.2299,0.00
2026-01-07 13:50:56,Faster R-CNN,motion_blur,5,0.4950,0.2116,0.0128,0.2794,0.3425,0.2116,0.00
2026-01-07 13:51:08,YOLOv8,noise,1,0.4175,0.2422,0.0061,0.3500,0.3703,0.2422,0.00
2026-01-07 13:51:39,Faster R-CNN,noise,1,0.4870,0.2805,0.0128,0.4059,0.4228,0.2805,0.00
2026-01-07 13:51:53,YOLOv8,noise,3,0.4033,0.2345,0.0076,0.3238,0.3722,0.2345,0.00
2026-01-07 13:52:24,Faster R-CNN,noise,3,0.4838,0.2772,0.0198,0.3803,0.4314,0.2772,0.00
2026-01-07 13:52:36,YOLOv8,noise,5,0.4253,0.2485,0.0128,0.3550,0.3776,0.2485,0.00
2026-01-07 13:53:09,Faster R-CNN,noise,5,0.5004,0.2815,0.0133,0.4117,0.4194,0.2815,0.00
2026-01-07 13:53:21,YOLOv8,defocus_blur,3,0.4439,0.2148,0.0063,0.2470,0.3910,0.2148,0.00
2026-01-07 13:53:52,Faster R-CNN,defocus_blur,3,0.3903,0.1889,0.0119,0.2294,0.3255,0.1889,0.00
2026-01-07 13:54:04,YOLOv8,defocus_blur,5,0.1310,0.0507,0.0038,0.0251,0.1232,0.0507,0.00
2026-01-07 13:54:34,Faster R-CNN,defocus_blur,5,0.0916,0.0381,0.0048,0.0175,0.0918,0.0381,0.00
